item_id,sentiment,SentimentSource,SentimentText
28,0.099,Novo Nordisk,Novo Nordisk and AstraZeneca seek tonic from key drug trials
29,-0.311,Mr Bricolage,Kingfisher takeover of Mr Bricolage could hit a brick wall
30,0.23600000000000002,BP,BP wins right to appeal some Gulf spill damages claims
31,0.47800000000000004,Dixons Carphone,Dixons Carphone profit boost on strong sales
32,0.128,Sky,UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100
33,0.40700000000000003,Johnson Matthey,Johnson Matthey profit lifted by metals unit sale
34,-0.902,Credit Suisse,"Barclays, Credit Suisse strike record deals with SEC, NY over dark pools"
35,-0.17400000000000002,Shire,UPDATE 1-Shire takes Q2 earnings pain for long-term gain
36,0.437,Shire,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit
37,0.166,Standard Chartered PLC,Standard Chartered considering move from UK
38,0.24,Kirin,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...
39,-0.019,Shell,US cancels Arctic offshore lease sale after Shell drops interest
40,0.203,Baxalta,Shire CEO steps up drive to get Baxalta board talking
41,-0.2,BP,UPDATE 1-Oil major BP freezes pay in 2015 to cut costs
42,-0.131,Vale,Brazil Vale says will appeal ruling to block assets for dam burst
43,-0.9380000000000001,BHP Billiton,"BHP Billiton posts big loss, slashes dividend"
44,-0.913,Glencore,Reaching New Depths: Glencore's $5bn Loss
4,0.778,EasyJet,UPDATE 2-EasyJet sees better first half on lower fuel bill
46,0.47600000000000003,Royal Mail,Britain's FTSE advances as Royal Mail rises
47,0.30000000000000004,Haris & Hoole,CompaniesTesco sheds Harris & Hoole coffee shops
48,0.509,Standard Chartered PLC,News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks
49,0.378,Citigroup,Fitch: Citi's 1Q'15 Reports Much Improved Results
50,0.659,Hammerson,Landlord Hammerson's NAV rises on increased leasing activity
51,0.296,Metro Bank,CompaniesMetro Bank raises Â£400m ahead of London listing
52,0.14300000000000002,Morrisons,New Morrisons duo get former boss's support to diffuse investor tension
53,0.668,WPP,WPP Q1 Revenue Rises Over 8% - Quick Facts
54,0.309,Barclays,Barclays raises 603 million pounds from African business share sale
55,-0.398,AXA,REFILE-Aviva Investors to move 34 bln euros in assets from AXA fund arm
56,0.425,Royal Bank of Scotland Group plc,Dividends Unleashed At Royal Bank of Scotland Group plc
57,0.128,Standard Chartered PLC,"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears"
58,0.326,BP,"EXCLUSIVE-BP, China's CNPC to unveil oil alliance - sources"
59,-0.9410000000000001,Royal Bank of Scotland Group plc,RBS and Barclays shares temporarily suspended amid heavily losses
60,-0.376,BP,BP sees Q1 earnings slide as low oil prices take their toll
61,0.224,Johnson Matthey,Johnson Matthey revs up on clean air drive
62,0.17300000000000001,Tesco PLC,Tesco boss urges rethink on minimum wage and business rates
63,0.161,Tesco PLC,Is It Worth Investing In Tesco PLC And Prudential plc Now?
64,0.089,Royal Bank of Scotland Group plc,RBS will reportedly appoint Howard Davies as its next chairman
65,-0.338,Shell,UPDATE 1-Seattle flotilla protests Shell's Arctic drilling plans
66,-0.343,Petrofac,Petrofac books further Â£30m cost for Shetland gas terminal delays
67,-0.323,G4S,G4S suspends workers at UK youth centre over allegations of unnecessary force
68,0.217,BAE Systems,TalkTalk hires BAE Systems to investigate cyber attack
69,-0.311,Lloyds Banking Group PLC,Osborne extends Lloyds sell-off plan
70,-0.902,Dairy Crest,UPDATE 1-Dairy Crest loses a third of Morrisons milk contract
71,0.364,Dixons Carphone,CompaniesLord Livingston joins Dixons Carphone
72,0.26,Deloitte,Tesco names Deloitte as new auditor after accounting scandal
73,-0.521,Barclays,World's banks may halve jobs and branches within 10 years - Barclays ex-boss
74,0.526,Severn Trent,Severn Trent share price rises as first half profit inches up as customer ...
75,0.328,Clinigen,Clinigen chosen by AstraZeneca to manage access programme for next ...
76,-0.044,Valeant Pharmaceuticals International,Valeant's Pearson says timing of return uncertain
77,-0.78,Aviva plc,Aviva suspends trading in Â£1.8bn UK property fund
78,0.182,Horizonte,Horizonte acquires neighbouring Glencore nickel property in Brazil
79,0.155,Johnston Press,Indy future in doubt as Johnston Press lines up deal for 'i'
80,0.277,Desano,Glaxo's ViiV Healthcare Signs China Manufacturing Deal With Desano
81,0.082,BHP Billiton,"BHP Billiton half-year profit falls, beats forecasts"
82,0.259,Royal Dutch Shell,Royal Dutch Shell to Buy BG Group for Nearly $70 Billion
83,-0.25,Barclays,Barclays to speed up cost-cuts after new mis-selling hit
84,0.133,UBI,"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up"
85,-0.594,HSBC,HSBC Hit by Fresh Details of Tax Evasion Claims
86,-0.092,BPI,"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure"
87,0.221,BPI,"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure"
88,-0.08700000000000001,Wolseley,Wolseley says Nicholls won't join as finance chief
89,-0.164,Royal Mail,UK lawmakers warn Royal Mail against further price hikes
90,-0.39,Standard Chartered PLC,StanChart and RBS struggle in Bank of England stress tests
91,-0.155,Standard Chartered PLC,StanChart may see white knight takeover on painful recovery - CLSA
92,-0.392,AstraZeneca,AstraZeneca suffers setback after drug fails to treat eye cancer
93,-0.666,AstraZeneca,News FeedFTSE 100 movers: Standard Chartered lifted while AstraZeneca sinks
94,0.368,Kingfisher,Retail giant Kingfisher reports 'solid' start to the year
95,-0.264,Unilever,Unilever Continues to Battle Soft Demand
96,0.21,Frensillo Production,Fresnillo Production Surges But Profit Hit By Lower Prices
97,0.05,BG,Helge Lund moves to BG a month early
98,-0.192,Kipa,"Tesco set to sell Kipa, Giraffe businesses - Sky News"
99,-0.383,Royal Bank of Scotland Group plc,"RBS warns of higher misconduct charges, obstacles ahead"
100,0.307,DBS,"DBS, Julius Baer emerge as potential bidders for Barclays Asia wealth unit ..."
101,-0.40700000000000003,Standard Life,Standard Life slips as Greek worries peg back Britain's FTSE
102,0.466,Glencore,Glencore sells agri unit stake for $2.5 billion to Canadian pension fund
103,-0.28500000000000003,Royal Bank of Scotland Group plc,FCA bans former RBS Libor submitter
104,0.127,SABMiller,AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval
105,-0.158,Standard Chartered PLC,Standard Chartered Not Raising Capital Yet As Dividend Cut
106,0.23,Tesco PLC,"Tesco set to sell Kipa, Giraffe businesses - Sky News"
107,0.42,United Utilities,United Utilities FY profit up 3.5%; to boost capex
108,-0.518,Tesco PLC,Sale of Tesco's Clubcard business to WPP on the verge of collapse
109,-0.30000000000000004,RBS,UK's Osborne may sell state-owned RBS shares at a loss -paper
110,0.378,Tesco PLC,Tesco Sale Is Asia's Biggest Private-Equity Deal
111,0.28700000000000003,Wolseley,Industry NewsWolseley confident in reslilience amid mixed markets
112,0.262,Nikkei,Japan's Nikkei lands Financial Times in $1.3 billion deal
113,0.0,Royal Mail,UPDATE: Peter Long To Be Chairman Of Both Royal Mail And TUI AG
114,0.461,BAT,UK regulators license BAT e-cigarette as quit-smoking medicine
115,-0.782,Aviva plc,"Aviva, M&G suspend property funds as investors panic"
116,-0.528,British American Tobacco plc,British American Tobacco drops and sues PwC over pollution scandal
117,-0.434,Aberdeen Asset Management,Aberdeen's shares slide as net outflows accelerate
118,0.452,Hikma,REFILE-Hikma and Barclays help Britain's FTSE to climb higher
119,-0.13,Britvic,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit"
120,0.167,Standard Chartered PLC,Standard Chartered share price: Aberdeen CEO would back potential capital increase
121,0.433,Severn Trent,Severn Trent share price jumps as Canadian investor renews pursuit of utility
122,-0.34700000000000003,London Stock Exchange Group,France raises concerns over proposed LSE-Deutsche Boerse deal
123,-0.335,Brunzl,Bunzl blames weakness in United States for first-half revenue slowdown
124,-0.498,Tesco PLC,Tesco criticised for 'disgraceful' advert showing domestic worker being slapped
125,0.0,Barclays,Tushar Morzaria is bookies' favourite to be new Barclays chief executive
126,0.303,G4S,CompaniesG4S claims 'positive' start to the year
127,-0.042,Halliburton,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean"
128,0.905,BAE Systems,Shares in BAE Systems hit 10-month high on rating upgrade
129,0.233,Alior Bank,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank
130,0.0,Shell,Royal Dutch Shell plc: Shell Updates on Alaska Exploration
131,-0.521,Diageo,City spirits sink after Diageo comes up short with sales slide
132,0.35000000000000003,Tesco PLC,Tesco sales recover as focus returns to core business
133,0.14400000000000002,London Stock Exchange Group,London Stock Exchange unit in talks to operate Plato venue
134,0.34500000000000003,IBM,ARM Holdings plc Partners With International Business Machines Corp. To Drive ...
135,0.294,GSK,GSK joins China trade push as UK trumpets healthcare deals
136,0.0,Barclays,"Goldman Sachs, Barclays, HSBC downplay Brexit threat"
137,0.0,HSBC,HSBC marks muted 150th birthday party with grain of rice sculptures
138,0.036000000000000004,Barclays,Barclays appoints JPMorgan's Paul Compton as new COO
139,0.989,Standard Chartered PLC,Standard Chartered Shares Jump Most Since '12 After Upgrades
140,-0.231,Shell,Italy Probes Shell's Role in Purchase of Nigerian Oil Block
141,-0.4,Shropshire,Shropshire and Mid Wales trains to be hit again in new strike by Arriva drivers
142,0.138,Aviva plc,Friends Life lifts profits 38% and hikes divi ahead of proposed Aviva takeover
143,-0.052000000000000005,Randgold Resources,Randgold profit hit by poor gold price but dividend still increases
144,0.365,AstraZeneca,AstraZeneca does US$770mln anaesthetic deal
145,-0.369,AB InBev,AB InBev's Latest Bid Said Unlikely to Win SABMiller's Approval
146,0.611,ITV,ITV share price jumps on report of Comcast's NBCUniversal bidding to takeover ...
147,0.182,Diageo,Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group
148,-0.664,Pearson,Pearson to cut 4000 jobs as it warns on profits
149,-0.198,Takeda,"FDA panel backs safety updates for AstraZeneca, Takeda drugs"
150,0.105,London Stock Exchange Group,LSE-Deutsche Boerse merger would signal end to exchange mega-deals
151,-0.391,Intertek Group,"Intertek Hit By Pound Strength, Oil & Gas Slowdown; Still Ups Dividend"
152,0.213,Tesco PLC,Tesco says recovery plan working after profit collapse
153,0.20800000000000002,BP,Kinder Morgan and BP Form Joint Venture Limited Liability Company to Purchase ...
154,0.0,Shell,Shell and BG Shareholders to Vote on Deal at End of January
155,0.145,Starwood,"Intercontinental Hotels, Starwood held early deal talks - FT"
156,0.481,Berkshire Hathaway,Warren Buffett's Berkshire Hathaway buys stake in Apple
157,0.343,Baxalta,Sunday Papers: Shire told to raise its offer by Baxalta investors
158,0.558,Barratt,"Britain's FTSE bounces back, Mondi and Barratt lead"
159,-0.37,Glencore,Glencore slashes 2015 capex budget as annual profits slip 2%
160,0.123,AB InBev,Anheuser-Busch InBev Increases Offer for Rival SABMiller
161,0.0,Home Retail Group,Sainsbury CFO Rogers to Replace Home Retail CEO Walden
162,0.212,Barclays,"UPDATE 2-Exchanges, Barclays win dismissal of US high-frequency trading case"
163,-0.34,Barclays,MarketsUS industrials lag as Barclays dims view
164,0.376,RSA Insurance,Zurich Insurance Considering Offer for UK Rival RSA Insurance
165,-0.86,Mylan,US DOJ antitrust unit subpoenas Mylan over pricing of doxycycline
166,0.335,AstraZeneca,AstraZeneca sells US gout drug rights to Ironwood for up to $265 million
167,0.057,Shell,"Shell, Chevron Await LNG's Return From `Pause Mode'"
168,-0.199,London Stock Exchange Group,Companies raise less money on London Stock Exchange in 2015
169,0.0,BG Group,Shell and BG Shareholders to Vote on Deal at End of January
170,0.40700000000000003,Glencore,Glencore shares rally after miner hits back
171,0.353,ABN Amro,ABN Amro: Bank that brought down RBS poised for return to the market
172,-0.447,AT&T,Verizon and AT&T accused of hurting rivals
173,0.549,ARM Holdings plc,ARM swings to profit in fourth quarter
174,0.0,Johnson Matthey,Johnson Matthey profit falls but dividend rises
175,0.655,Auto Trader,Auto Trader share price surges as company floats on LSE
176,0.1,Hillshire Farms,ConAgra Names Former Hillshire Farms CEO Connolly to Top Post
177,-0.464,Hargreaves Lansdown,Hargreaves Landown slides on trading update
178,-0.226,Asda,"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ..."
179,0.555,WPP,"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth"
180,0.5660000000000001,BG Group,Shell Targets Gains From Brazil to LNG With Takeover of BG Group
181,-0.84,Barclays,Four former Barclays bankers jailed over Libor
182,-0.623,Tesco,Tesco Cut to Junk at Moody's on Concern Revival to Take Time
183,0.193,Glencore,LPC-Glencore launches refinancing of $8.45billion loan
184,0.514,Ashtead,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls"
185,0.147,EasyJet,Easyjet targets business travellers with new perks
186,0.24,BP,BP joins forces with Det Norske in Norway
187,0.269,Baxalta,Shire proposes $30 bln all-share tie-up with Baxalta
188,0.256,Tesco PLC,Tesco sales rise shows tentative recovery continues
189,0.0,Valeant Pharmaceuticals International,Valeant Names Interim Leader as CEO Remains Hospitalized
190,0.28400000000000003,AstraZeneca,AstraZeneca weighing up Acerta bid to secure blood cancer drug
191,-0.16,BP,BP asks for lower fine in penalty phase of Gulf spill trial
192,0.487,Shire,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal
193,0.156,Berkshire Hathaway Inc.,"Warren Buffett's Awesome Feat at Berkshire Hathaway, Revisited"
194,0.292,Lloyds Banking Group PLC,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs
195,-0.17300000000000001,SSE,SSE cuts gas prices by 4.1% to become fifth of 'Big Six' providers to slash energy ...
196,0.099,Rolls-Royce,Silicon Fen' champion brings exacting approach to Rolls-Royce
197,0.364,Tesco PLC,Tesco Said to Discuss Central and Eastern European Unit Sale
198,0.199,Glencore,Glencore launches refinancing of credit line
199,0.023,Apple,Should You Follow Berkshire Hathaway Into Apple Stock?
200,0.516,Friends Life,UK WINNERS & LOSERS: Aviva And Friends Life Lead FTSE 100 Gainers
201,0.291,Shire,FDA approves Shire's Vyvanse for binge-eating disorder
202,0.138,Entertainment One,Entertainment One dispels ITV takeover rumours
203,-0.077,Tesco PLC,"Despite sales growth, UK's Tesco cautions recovery to be bumpy"
204,-0.5640000000000001,BG,Oil Giant Shell to Cut Around 2800 Jobs Amid BG Takeover
205,-0.069,BAE Systems,BAE Systems banks on US defence spending to fix sales slide
206,-0.334,National Grid,UK Christmas power demand to be lowest in 16 years â€“ National Grid
207,0.426,Compass Group,CompaniesCompass serves up half year profit rise
208,-0.15,Hargreaves Lansdown,UK MORNING BRIEFING: Sky And Hargreaves Lansdown Bookend FTSE 100
209,0.631,InterContinental Hotels Group,InterContinental Hotels Group share price climbs on $1.5bn special dividend
210,0.21,AstraZeneca,AstraZeneca in Talks to Buy Cancer Drug Developer Acerta Pharma
211,0.34900000000000003,Amazon,Amazon to attack UK grocery market with Morrisons deal
212,-0.265,Tesco PLC,Tesco made a bit of a crucial error in this promotion for Ramadan...
213,-0.553,Weir Group,"Falling oil prices hurt Hunting, Weir Group"
214,0.195,Shire,Morning Agenda: Shire's Deal for NPS
215,0.549,AstraZeneca,AstraZeneca wins FDA approval for key new lung cancer pill
216,-0.84,Lloyds,FCA set to fine Lloyds record Â£100m over PPI
217,0.1,Barclays,"Barclays's Next CEO Should Be Investment Banker, Aberdeen Says"
218,-0.971,Barclays,RBS and Barclays shares temporarily suspended amid heavily losses
219,0.23500000000000001,Shire,Shire to buy NPS for $5.2 billion to boost rare disease drugs
220,-0.168,Tesco PLC,Tesco's boardroom clearout continues
221,-0.2,BHP Billiton,BHP Billiton says no settlement yet on Brazil dam disaster
222,0.352,ARM Holdings plc,Arm buoyed by race to build the internet of things
223,-0.391,AstraZeneca,AstraZeneca diabetes drug combination faces delay after FDA rebuff
224,0.389,Morrisons,Amazon's grocery deal with Morrisons is only the beginning
225,0.39,BAE Systems,BAE Systems's sales boosted by European Typhoon and currencies
226,-0.612,Aberdeen Asset Management,CompaniesAberdeen Asset Mgt reports 10th consecutive quarterly outflows
227,-0.1,JP Morgan,Barclays CEO poaches risk head from JP Morgan
228,0.48,BP,BP signs $12 billion energy deal in Egypt
229,0.23,Baxalta,Shire says internal synergy goals from Baxalta deal higher
230,0.299,Essence Digital,WPP wins race for 'programmatic buying' agency Essence Digital
231,0.75,Baxalta,Drugmaker Shire to buy Baxalta for $32 billion after 6-month pursuit
232,-0.064,AstraZeneca,AstraZeneca investment eats into profit
233,0.316,Inovio,"AstraZeneca bags another cancer drug deal, this time with Inovio"
234,-0.429,Centrica PLC,CompaniesCentrica shares drop 7% amid capital raise
235,-0.665,Rio Tinto,Miners Meltdown as BHP to Rio Tinto Sink in Commodities Rout
236,0.402,Tullow Oil,UPDATE 1-Britain's Tullow says makes new oil find in Kenya
237,0.279,National Grid,Britain's power supplies enough to meet winter demand - National Grid
238,0.434,Lloyds Banking Group PLC,Barclays PLC & Lloyds Banking Group PLC Are The 2 Banks I'd Buy Today
239,0.189,Berkshire Hathaway Inc.,UPDATE 3-Buffett's Berkshire raises oil bet with Kinder Morgan stake
240,0.315,EasyJet,"UPDATE: EasyJet Passenger Numbers, Aer Lingus Traffic Up In February"
241,0.231,Barclays,PRESS: US High-Frequency Lawsuit Against Barclays Dismissed - Reuters
242,-0.1,Shell,Shell CEO van Beurden's remuneration fell in 2015
243,-0.364,Aberdeen Asset Management,"Aberdeen AM posts H1 outflows, says conditions to remain challenging"
244,-0.179,Kraft Heinz,"Kraft, Cadbury's and Britvic in Total Recall: how pulling a product affects profit"
245,-0.035,Shell,Shell seeks to remove Greenpeace activists from oil rig
246,-0.121,BP,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean"
247,0.386,Pearson,Pearson Forecasts Rising Earnings as Reorganization Pays Off
248,-0.113,Morrisons,Morrisons faces festive sales test
249,-0.09,Friends Life,Aviva shuts Friends Life head office in rapid integration move
250,-0.323,Tesco,Tesco to pay Â£8m to settle class-action lawsuit after accounting scandal
251,0.164,Lehman,UPDATE 3-Stifel to buy former Lehman brokerage from Barclays
252,-0.109,Royal Mail,CompaniesRoyal Mail stake sale delivers Â£750m for taxpayer
253,0.056,ICE,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger
254,0.185,CaixaBank,Spain's Caixabank launches new takeover bid for Banco BPI
255,-0.373,Aviva plc,Former Aviva Investors analyst Mothahir Miah banned and fined Â£139000 by FCA ...
256,0.178,ARM Holdings plc,ARM shrugs off smartphone slowdown as newer designs win share
257,-0.446,Petrofac,UPDATE 1-Petrofac posts net loss hurt by Shetland Islands project costs
258,0.304,Kingfisher,Do it for me' trend underpins UK sales growth at Kingfisher
259,0.2,RBS,RBS invites pitches for broker role ahead of privatisation - sources
260,0.247,Bunzl,Bunzl delivers small profit increase for 2014
261,-0.018000000000000002,AB InBev,AB InBev Holds Talks With Regulators About California Deals
262,-0.452,Worldpay,CompaniesMorrison evicted from FTSE 100 as Worldpay joins
263,-0.196,Barclays,Barclays denies deferred prosecution offer from SFO
264,-0.377,Kingfisher,LONDON MIDDAY BRIEFING: Kingfisher's French Expansion Hits The Rocks
265,0.122,Serco,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT"
266,0.211,Tesco PLC,Tesco chief excutive Dave Lewis sees 'encouraging signs' despite profits tumble
267,0.188,EasyJet,"EasyJet ""Sneakairs"": Airline is testing smart shoes to help customers explore destinations"
268,0.293,Coca-Cola FEMSA,The Coca-Cola Company and Coca-Cola FEMSA to Acquire AdeS Soy-Based Beverage Business From Unilever
269,-0.31,SSE,SSE faces profiteering accusations despite 5.3% cut in gas charges
270,0.643,Royal Bank of Scotland Group plc,CompaniesRBS pulls a surprise: a 27% jump in profits
271,0.067,Chevron,"Shell, Chevron Await LNG's Return From `Pause Mode'"
272,0.28500000000000003,Barclays,Barclays settles with US investors over Libor manipulation
273,0.19,Tesco PLC,"Tesco says recovery on track, asks investors to be patient"
274,0.14,Dunelm Group plc,"Should you buy Associated British Foods plc, Great Portland Estates plc and Dunelm Group plc following today's news?"
275,-0.6900000000000001,Royal Bank of Scotland Group plc,"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge"
276,0.368,National Grid,National Grid profit up 15%; gas sale on track
277,0.519,AstraZeneca,AstraZeneca chases Acerta to secure next cancer drug winner
278,0.337,Prudential,"Prudential capital ratio beats forecasts, confirms UK head"
279,0.0,Prudential Financial,CompaniesEx-City watchdog Turner joins Prudential board
280,-0.444,Statoil,"Militants fire rockets at Algerian BP/Statoil gas plant, no casualties"
281,0.23500000000000001,Shell,BG Group Still Happy With Shell's $70 Billion Offer
282,0.499,AstraZeneca,CompaniesAstraZeneca wins nod for 'blockbuster' hopeful
283,-0.222,Shell,Shell to Lay Off Another 2200 Staff
284,0.099,Carnival Corporation,Carnival Corporation and China Merchants Group Sign Memo of Understanding ...
285,0.0,Diageo,CompaniesDiageo stays neutral on India boardroom turmoil
286,0.2,Tesco,Tesco to 'axe 10000 jobs' in 'simplification' drive to cut costs by 30 per cent
287,0.077,Barclays,Barclays poised to replace Sir Mike Rake as he heads for exit
288,0.02,Tesco,Tesco bans sugary drinks in â€œchildhood obesity driveâ€퀀
289,0.14300000000000002,Tata Steel,Tata Steel working with StanChart for UK unit sale - source
290,0.021,Sainsbury's,Sainsbury's share price: Grocer launches click-and-collect
291,-0.8150000000000001,AO World,AO World shares tumble on profit warning
292,0.148,Shell,Shell Targets Gains From Brazil to LNG With Takeover of BG Group
293,0.278,Glencore,Glencore tells investors it is on track to reduce debt: Barclays
294,-0.1,Whitbread,Whitbread boss Andy Harrison defends sales fall as 'just a blip'
295,0.214,Severn Trent,Borealis Infrastructure putting together new Severn Trent bid
296,0.326,Perrigo,AstraZeneca sells US drug rights to Perrigo for $380 mln
297,-0.441,Aggreko,Aggreko 2015 Profit Declines - Quick Facts
298,-0.372,Pearson,Pearson lags as UK's FTSE slips off record high
299,0.12,RBS,RBS hands Â£3.3m of shares to top staff
300,0.423,Glencore,Glencore sells agriculture stake for $2.5bn
301,-0.075,Barclays,Barclays says has spent $150 million on US 'living will'
302,-0.457,Royal Bank of Scotland Group plc,RBS share price: Group plans to slash 600 jobs
303,0.365,Lafarge Holcim,TRLPC - CRH backs Lafarge Holcim asset buy with 6.5 bln euro bridge loan
304,0.35000000000000003,Barclays,"Eurozone bank lending continues to recover, slowly, Barclays says"
305,-0.05,Royal Bank of Scotland Group plc,RBS breaks with past by tearing investment bank apart
306,0.357,Aberdeen Asset Management,Aberdeen Asset Management Gains Foothold In China
307,-0.637,BP,BP to pay investors $175m over Gulf spill claims
308,0.253,Persimmon,Persimmon sees post-election pick-up
309,-0.35100000000000003,Sainsbury's,Fewer multi-buys hurt Sainsbury's market share
310,0.437,SABMiller,Australia clears AB Inbev's $100 billion SABMiller buyout plan
311,0.508,Tailor Wimpey,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls"
312,-0.405,AstraZeneca,AstraZeneca profit down as sales of stalwarts fade
313,0.439,Tesco PLC,Tesco Mobile Partners with Unlockd to Change the Way Consumers Use and Pay for Their Mobile Phones
314,0.366,Associated British Foods,Associated British Foods helps FTSE to rebound
315,0.0,Shell,Why Shell Cut Ties to Conservative Lobby Group Over Climate Change
316,0.28600000000000003,Thermo Scientific,Johnson Matthey sells research chemicals unit to Thermo Scientific
317,0.546,Tesco,Tesco rebounds as buyers sense a bargain
318,0.001,Valeant Pharmaceuticals International,"Valeant CEO Returns From Leave, Company Withdraws Guidance"
319,0.64,AstraZeneca,AstraZeneca shares climb 3% as drug maker ups profits forecasts
320,-0.23800000000000002,EasyJet,"FastJet slams EasyJet founder Stelios for going public, is ""taking legal advice"" over letter about contractual ..."
321,-0.279,Tesco PLC,"Failure of leadership' behind Tesco troubles, says former CEO Leahy"
322,-0.116,British American Tobacco plc,British American Tobacco says would fight UK 'plain packaging' law
323,0.427,JV Partner,"Hammerson, JV Partner secure ownership of Ireland's Dundrum - Quick Facts"
324,0.329,SABMiller,Asahi could be about to snap up more of SABMiller's beers ahead of AB InBev sale
325,0.0,ASOS plc,"Are ARM Holdings plc, Domino's Pizza Group plc and ASOS plc 3 must-have growth stocks?"
326,0.359,Persimmon,Persimmon reports strong trading despite EU vote and planning delays
327,0.096,ICE,NYSE owner ICE considers offer for LSE
328,-0.085,AstraZeneca,CompaniesSanofi poaches immunology expert from AstraZeneca
329,0.0,Mylan,Mylan Appoints Ranjan Ray Chaudhuri as Global Commercial Lead for Mylan's Over ...
330,-0.293,BP,BP ends 27-year sponsorship of Tate as falling oil price takes toll
331,-0.38,Shell,Royal Dutch Shell pulls plug on Arctic exploration
332,0.258,Glencore,Horizonte acquires neighbouring Glencore nickel property in Brazil
333,0.321,Standard Chartered PLC,"Standard Chartered, RBS Escape Capital Raising in Stress Test"
334,0.507,AstraZeneca,FDA approves AstraZeneca drug for advanced lung cancer
335,0.105,Barclays,Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase
336,0.177,Severn Trent,"Water utility Severn Trent ups savings forecast, FY profit falls"
337,-0.369,Reed Elsevier,Reed Elsevier shares cool after profit dip
338,0.074,BAE Systems,BAE Systems lines up oil exec Woodburn as next CEO -source
339,0.0,Diageo,Diageo share price: Group issues half-year update
340,0.0,Diageo,CompaniesDiageo moves CFO to lead North American business
341,-0.2,Lloyds,"RBS, Lloyds Most Exposed to Commercial Property, JPMorgan Says"
342,-0.166,Legal & General Group Plc,Legal & General share price: Finance chief to step down
343,0.076,London Stock Exchange Group,CompaniesLSE adds ex-SEC head Schapiro to board
344,0.353,SABMiller,"European shares fall on Chinese import data, SABMiller soars"
345,0.5,Schroders,"News FeedSchroders books solid earnings growth, several board changes"
